time,category,country,carbon_emission,unixtime
2019/1/1,Total,China,32267.17281,1546300800
2019/1/2,Total,China,31713.3053,1546387200
2019/1/3,Total,China,30632.94268,1546473600
2019/1/4,Total,China,31433.26205,1546560000
2019/1/5,Total,China,31437.8125,1546646400
2019/1/6,Total,China,31547.13809,1546732800
2019/1/7,Total,China,31278.17459,1546819200
2019/1/8,Total,China,31769.06229,1546905600
2019/1/9,Total,China,31863.21517,1546992000
2019/1/10,Total,China,32219.78983,1547078400
2019/1/11,Total,China,32579.54857,1547164800
2019/1/12,Total,China,31732.20381,1547251200
2019/1/13,Total,China,30846.50324,1547337600
2019/1/14,Total,China,30794.78607,1547424000
2019/1/15,Total,China,31617.66097,1547510400
2019/1/16,Total,China,31660.41905,1547596800
2019/1/17,Total,China,31583.37197,1547683200
2019/1/18,Total,China,31138.8095,1547769600
2019/1/19,Total,China,30807.99489,1547856000
2019/1/20,Total,China,29998.70318,1547942400
2019/1/21,Total,China,30007.0299,1548028800
2019/1/22,Total,China,29137.86439,1548115200
2019/1/23,Total,China,29070.10323,1548201600
2019/1/24,Total,China,28123.415,1548288000
2019/1/25,Total,China,26982.84032,1548374400
2019/1/26,Total,China,25806.33128,1548460800
2019/1/27,Total,China,24813.50717,1548547200
2019/1/28,Total,China,25172.24953,1548633600
2019/1/29,Total,China,23931.19119,1548720000
2019/1/30,Total,China,23130.54927,1548806400
2019/1/31,Total,China,22929.94014,1548892800
2019/2/1,Total,China,24099.50845,1548979200
2019/2/2,Total,China,23421.96711,1549065600
2019/2/3,Total,China,23064.77839,1549152000
2019/2/4,Total,China,22378.71426,1549238400
2019/2/5,Total,China,22051.34044,1549324800
2019/2/6,Total,China,22013.80455,1549411200
2019/2/7,Total,China,22418.11396,1549497600
2019/2/8,Total,China,23105.36523,1549584000
2019/2/9,Total,China,23851.66041,1549670400
2019/2/10,Total,China,24386.68844,1549756800
2019/2/11,Total,China,25240.46797,1549843200
2019/2/12,Total,China,25588.46848,1549929600
2019/2/13,Total,China,26266.13258,1550016000
2019/2/14,Total,China,27106.70129,1550102400
2019/2/15,Total,China,27392.13657,1550188800
2019/2/16,Total,China,27905.23824,1550275200
2019/2/17,Total,China,27891.06216,1550361600
2019/2/18,Total,China,28461.20186,1550448000
2019/2/19,Total,China,29728.34979,1550534400
2019/2/20,Total,China,31174.41005,1550620800
2019/2/21,Total,China,31458.75361,1550707200
2019/2/22,Total,China,30998.24771,1550793600
2019/2/23,Total,China,30953.898,1550880000
2019/2/24,Total,China,30571.13187,1550966400
2019/2/25,Total,China,30998.78933,1551052800
2019/2/26,Total,China,29754.78306,1551139200
2019/2/27,Total,China,30672.39544,1551225600
2019/2/28,Total,China,30133.47225,1551312000
2019/3/1,Total,China,30387.46753,1551398400
2019/3/2,Total,China,30577.72091,1551484800
2019/3/3,Total,China,29727.64073,1551571200
2019/3/4,Total,China,29500.86317,1551657600
2019/3/5,Total,China,28227.11602,1551744000
2019/3/6,Total,China,28366.69152,1551830400
2019/3/7,Total,China,28353.37274,1551916800
2019/3/8,Total,China,28452.99179,1552003200
2019/3/9,Total,China,28918.37478,1552089600
2019/3/10,Total,China,28487.12377,1552176000
2019/3/11,Total,China,28104.66008,1552262400
2019/3/12,Total,China,27157.42185,1552348800
2019/3/13,Total,China,27033.4486,1552435200
2019/3/14,Total,China,27264.43246,1552521600
2019/3/15,Total,China,27458.48457,1552608000
2019/3/16,Total,China,27530.42118,1552694400
2019/3/17,Total,China,26824.34804,1552780800
2019/3/18,Total,China,26947.06891,1552867200
2019/3/19,Total,China,26595.21107,1552953600
2019/3/20,Total,China,27576.67869,1553040000
2019/3/21,Total,China,27642.72773,1553126400
2019/3/22,Total,China,28007.82402,1553212800
2019/3/23,Total,China,28237.23823,1553299200
2019/3/24,Total,China,27606.48748,1553385600
2019/3/25,Total,China,27515.39028,1553472000
2019/3/26,Total,China,26497.16469,1553558400
2019/3/27,Total,China,27238.21949,1553644800
2019/3/28,Total,China,27925.64625,1553731200
2019/3/29,Total,China,27377.6596,1553817600
2019/3/30,Total,China,27196.14044,1553904000
2019/3/31,Total,China,27278.79806,1553990400
2019/4/1,Total,China,28993.32659,1554076800
2019/4/2,Total,China,29170.51495,1554163200
2019/4/3,Total,China,28085.62814,1554249600
2019/4/4,Total,China,28274.21729,1554336000
2019/4/5,Total,China,28013.59288,1554422400
2019/4/6,Total,China,27512.44676,1554508800
2019/4/7,Total,China,27801.09581,1554595200
2019/4/8,Total,China,28221.47386,1554681600
2019/4/9,Total,China,29106.1818,1554768000
2019/4/10,Total,China,29690.78446,1554854400
2019/4/11,Total,China,30086.89311,1554940800
2019/4/12,Total,China,29321.99513,1555027200
2019/4/13,Total,China,29389.79982,1555113600
2019/4/14,Total,China,28997.97897,1555200000
2019/4/15,Total,China,28621.08303,1555286400
2019/4/16,Total,China,27361.54725,1555372800
2019/4/17,Total,China,26105.63802,1555459200
2019/4/18,Total,China,26872.76177,1555545600
2019/4/19,Total,China,27388.05934,1555632000
2019/4/20,Total,China,26407.1256,1555718400
2019/4/21,Total,China,27395.44293,1555804800
2019/4/22,Total,China,26613.37797,1555891200
2019/4/23,Total,China,26976.4062,1555977600
2019/4/24,Total,China,27062.50899,1556064000
2019/4/25,Total,China,27834.20283,1556150400
2019/4/26,Total,China,27529.79343,1556236800
2019/4/27,Total,China,27680.9188,1556323200
2019/4/28,Total,China,26709.54788,1556409600
2019/4/29,Total,China,26937.76422,1556496000
2019/4/30,Total,China,26099.89661,1556582400
2019/5/1,Total,China,26679.18902,1556668800
2019/5/2,Total,China,24997.61039,1556755200
2019/5/3,Total,China,25321.42048,1556841600
2019/5/4,Total,China,26391.65023,1556928000
2019/5/5,Total,China,26941.96645,1557014400
2019/5/6,Total,China,26883.31372,1557100800
2019/5/7,Total,China,27858.52215,1557187200
2019/5/8,Total,China,27315.97587,1557273600
2019/5/9,Total,China,27100.87343,1557360000
2019/5/10,Total,China,26800.67339,1557446400
2019/5/11,Total,China,26280.77336,1557532800
2019/5/12,Total,China,25976.96091,1557619200
2019/5/13,Total,China,26297.76436,1557705600
2019/5/14,Total,China,27732.57921,1557792000
2019/5/15,Total,China,26827.44967,1557878400
2019/5/16,Total,China,28025.48,1557964800
2019/5/17,Total,China,28415.89428,1558051200
2019/5/18,Total,China,28321.83772,1558137600
2019/5/19,Total,China,27026.59613,1558224000
2019/5/20,Total,China,27431.59097,1558310400
2019/5/21,Total,China,27768.97041,1558396800
2019/5/22,Total,China,27392.25107,1558483200
2019/5/23,Total,China,27557.09662,1558569600
2019/5/24,Total,China,26884.5754,1558656000
2019/5/25,Total,China,26538.07564,1558742400
2019/5/26,Total,China,26039.02212,1558828800
2019/5/27,Total,China,26691.01906,1558915200
2019/5/28,Total,China,26178.22411,1559001600
2019/5/29,Total,China,25838.13036,1559088000
2019/5/30,Total,China,25855.86228,1559174400
2019/5/31,Total,China,25899.3629,1559260800
2019/6/1,Total,China,24936.15535,1559347200
2019/6/2,Total,China,24803.98576,1559433600
2019/6/3,Total,China,24709.04155,1559520000
2019/6/4,Total,China,25539.62338,1559606400
2019/6/5,Total,China,26478.86392,1559692800
2019/6/6,Total,China,26719.13832,1559779200
2019/6/7,Total,China,27501.71726,1559865600
2019/6/8,Total,China,26554.70453,1559952000
2019/6/9,Total,China,27089.54742,1560038400
2019/6/10,Total,China,28441.65717,1560124800
2019/6/11,Total,China,29902.43476,1560211200
2019/6/12,Total,China,29588.97755,1560297600
2019/6/13,Total,China,29525.75763,1560384000
2019/6/14,Total,China,29061.03373,1560470400
2019/6/15,Total,China,30000.84394,1560556800
2019/6/16,Total,China,29295.50629,1560643200
2019/6/17,Total,China,29238.48159,1560729600
2019/6/18,Total,China,29658.54652,1560816000
2019/6/19,Total,China,30669.61278,1560902400
2019/6/20,Total,China,29461.32429,1560988800
2019/6/21,Total,China,29508.91452,1561075200
2019/6/22,Total,China,29128.66585,1561161600
2019/6/23,Total,China,28522.90031,1561248000
2019/6/24,Total,China,27451.05479,1561334400
2019/6/25,Total,China,27216.52738,1561420800
2019/6/26,Total,China,27589.53169,1561507200
2019/6/27,Total,China,28355.81036,1561593600
2019/6/28,Total,China,28758.59574,1561680000
2019/6/29,Total,China,29241.66876,1561766400
2019/6/30,Total,China,28646.92329,1561852800
2019/7/1,Total,China,26894.66695,1561939200
2019/7/2,Total,China,26541.76496,1562025600
2019/7/3,Total,China,27713.64106,1562112000
2019/7/4,Total,China,26800.26714,1562198400
2019/7/5,Total,China,26119.84847,1562284800
2019/7/6,Total,China,25179.07306,1562371200
2019/7/7,Total,China,24950.01145,1562457600
2019/7/8,Total,China,25574.05937,1562544000
2019/7/9,Total,China,26591.82628,1562630400
2019/7/10,Total,China,27588.34407,1562716800
2019/7/11,Total,China,27513.87932,1562803200
2019/7/12,Total,China,27628.14403,1562889600
2019/7/13,Total,China,27305.78406,1562976000
2019/7/14,Total,China,27317.51705,1563062400
2019/7/15,Total,China,27461.37629,1563148800
2019/7/16,Total,China,27474.78847,1563235200
2019/7/17,Total,China,29158.88422,1563321600
2019/7/18,Total,China,29404.01315,1563408000
2019/7/19,Total,China,30100.04388,1563494400
2019/7/20,Total,China,29766.77474,1563580800
2019/7/21,Total,China,29864.53452,1563667200
2019/7/22,Total,China,29842.08623,1563753600
2019/7/23,Total,China,30565.52804,1563840000
2019/7/24,Total,China,30572.36366,1563926400
2019/7/25,Total,China,30532.2845,1564012800
2019/7/26,Total,China,30811.12686,1564099200
2019/7/27,Total,China,31019.90471,1564185600
2019/7/28,Total,China,30963.95092,1564272000
2019/7/29,Total,China,30137.15177,1564358400
2019/7/30,Total,China,30803.1551,1564444800
2019/7/31,Total,China,30909.16457,1564531200
2019/8/1,Total,China,29265.73259,1564617600
2019/8/2,Total,China,28946.80685,1564704000
2019/8/3,Total,China,28173.2083,1564790400
2019/8/4,Total,China,27681.08901,1564876800
2019/8/5,Total,China,28045.09061,1564963200
2019/8/6,Total,China,28142.58376,1565049600
2019/8/7,Total,China,28838.38901,1565136000
2019/8/8,Total,China,29319.64887,1565222400
2019/8/9,Total,China,29518.24999,1565308800
2019/8/10,Total,China,29235.57274,1565395200
2019/8/11,Total,China,28953.15912,1565481600
2019/8/12,Total,China,28400.01881,1565568000
2019/8/13,Total,China,28807.92878,1565654400
2019/8/14,Total,China,29560.43568,1565740800
2019/8/15,Total,China,30032.75283,1565827200
2019/8/16,Total,China,29893.05459,1565913600
2019/8/17,Total,China,29445.61226,1566000000
2019/8/18,Total,China,28273.96022,1566086400
2019/8/19,Total,China,28046.42108,1566172800
2019/8/20,Total,China,28447.80755,1566259200
2019/8/21,Total,China,28896.69229,1566345600
2019/8/22,Total,China,29335.2131,1566432000
